amfi_code,alpha,beta
100016,-0.08969879640543672,0.7884407334841198
100025,0.03319866074294832,0.06071304883828605
100033,0.11442300096849978,0.9915895273399906
101206,0.09744276980996129,0.7370150749441953
101207,-0.35074122431691107,2.8781840749412013
101208,0.06103184313333541,-0.0010198340079364255
102885,0.07188210134066053,0.6162922657571309
102886,-0.11567844822497157,0.9014414037954362
102887,0.024546563427794304,0.8682864578367645
118632,0.057106039669331844,1.0119847058962184
118633,0.04422646866006808,0.6985352285767986
118634,-0.1783451660575268,2.242016244667821
118635,0.05179487547677482,0.625842086742885
118636,0.03495242125822959,0.099569057298436
119092,-0.11501872716299394,1.1590213318629512
119093,-0.0781152813660859,1.0139262119982864
119094,0.016867230962721087,1.520896481602754
119095,-0.3056243461244476,2.2108490756850476
119120,0.04251454061462543,0.08487388027964796
119551,0.14151304739808193,0.5629308778564812
119552,0.06197305331497187,0.8546331906290229
119598,-0.08812721951686406,2.457368834340667
119599,-0.2736242233843516,2.0396541449883596
120503,0.02872893588603788,0.9247921208111862
120504,0.11599437019255471,0.6065291576079519
120505,0.10264725537819633,1.1948147642957914
120506,0.01846933405012634,0.9140588874598815
120507,0.06836000378313713,-0.00573220001538792
120841,0.020996230009682287,0.6951836824355574
120842,-0.09246402314999572,1.075704655273852
120843,0.10264488235821481,1.0687458558332725
120844,0.06624144385499518,-0.010671268007490773
125497,0.033716927856505596,0.912326179410411
125498,-0.09849952597540401,1.3750608967383793
148567,0.18196793619353316,0.5571340440928769
148568,0.0790424549840647,0.8104117143433324
148569,0.09647297419056043,1.1745863251691933
149322,-0.01926372581370445,0.9487248528073082
149323,0.08772338760612475,1.1204823921524785
149324,-0.05127804562304292,2.2148038342368386
